id_pedido,data_pedido,id_cliente,nome_cliente,email_cliente,cidade_cliente,estado_cliente,id_produto,nome_produto,categoria,quantidade,preco_unitario,preco_total,metodo_pagamento,status_pedido,ano,mes,dia_semana
PEDIDO-1000,2025-06-22,CLIENTE-125,Davi Miguel Pires,da-mataana@example.net,Campos,AC,PRODUTO-5506,Halteres,Esportes,2,322.1,644.2,Cartão De Crédito,Cancelado,2025,6,Sunday
PEDIDO-1001,2025-06-21,CLIENTE-658,Yago Freitas,vcamara@example.com,Vasconcelos Do Amparo,RO,PRODUTO-7912,Notebook,Eletrônicos,1,232.71,232.71,Boleto,Cancelado,2025,6,Saturday
PEDIDO-1002,2025-05-12,CLIENTE-674,Luana Monteiro,samuel99@example.net,Machado Do Galho,RJ,PRODUTO-9928,Pijama,Roupas,2,925.96,1851.92,Pix,Entregue,2025,5,Monday
PEDIDO-1003,2025-11-20,CLIENTE-263,Francisco Brito,melojoao-vitor@example.com,Macedo Da Serra,AM,PRODUTO-7924,Tapete de yoga,Esportes,3,353.19,1059.57,Pix,Entregue,2025,11,Thursday
PEDIDO-1004,2025-09-01,CLIENTE-199,João Pedro Silveira,mendoncamaria-helena@example.org,Nunes Da Prata,DF,PRODUTO-6635,Tênis de academia,Calçados,3,1623.9,4871.700000000001,Cartão De Débito,Cancelado,2025,9,Monday
PEDIDO-1005,2025-04-29,CLIENTE-487,Jade Pires,francisco85@example.net,Teixeira Da Mata,SE,PRODUTO-5803,Webcam,Eletrônicos,5,424.96,2124.7999999999997,Cartão De Crédito,Entregue,2025,4,Tuesday
PEDIDO-1006,2026-03-03,CLIENTE-891,Rael Freitas,icavalcanti@example.org,Macedo Do Campo,PR,PRODUTO-2307,Sandália,Calçados,1,791.25,791.25,Cartão De Débito,Cancelado,2026,3,Tuesday
PEDIDO-1007,2025-04-06,CLIENTE-266,Sara Almeida,natalialopes@example.net,Da Rocha Do Norte,ES,PRODUTO-6820,Sandália,Calçados,3,1418.55,4255.65,Cartão De Crédito,Cancelado,2025,4,Sunday
PEDIDO-1008,2026-01-18,CLIENTE-646,Sra. Aurora Cavalcanti,ada-luz@example.net,Pastor De Viana,DF,PRODUTO-5010,Bola de vôlei,Esportes,4,789.94,3159.76,Transferência,Entregue,2026,1,Sunday
PEDIDO-1009,2025-09-12,CLIENTE-963,Sophia da Mata,xnascimento@example.net,Pimenta De Freitas,RO,PRODUTO-1916,Batom,Beleza,1,1619.84,1619.84,Cartão De Débito,Processando,2025,9,Friday
PEDIDO-1010,2025-12-13,CLIENTE-680,Srta. Mariana Machado,britopietra@example.net,Da Cunha,RS,PRODUTO-6155,Halteres,Esportes,4,821.48,3285.92,Cartão De Débito,Entregue,2025,12,Saturday
PEDIDO-1011,2026-03-10,CLIENTE-352,Vitória Cardoso,avasconcelos@example.com,Monteiro,GO,PRODUTO-9830,Corda de pular,Esportes,5,885.45,4427.25,Transferência,Processando,2026,3,Tuesday
PEDIDO-1012,2025-05-16,CLIENTE-241,Maria Eduarda Casa Grande,juliana29@example.org,Rocha Do Sul,PR,PRODUTO-9085,Abajur,Casa E Decoração,1,1729.15,1729.15,Boleto,Cancelado,2025,5,Friday
PEDIDO-1013,2025-08-09,CLIENTE-796,Dra. Aurora Montenegro,riosjuliana@example.net,Silva Das Flores,SC,PRODUTO-2040,Livros de desenvolvimento pessoal,Livros,4,1211.98,4847.92,Cartão De Débito,Cancelado,2025,8,Saturday
PEDIDO-1014,2025-12-29,CLIENTE-666,Emanuelly Nunes,julia24@example.org,Andrade De Da Costa,PA,PRODUTO-1188,Protetor solar,Beleza,5,1514.21,7571.05,Pix,Entregue,2025,12,Monday
PEDIDO-1015,2025-08-19,CLIENTE-261,Joana da Luz,fariasvalentina@example.net,Souza,SE,PRODUTO-1053,Livros de drama,Livros,3,1945.18,5835.54,Boleto,Cancelado,2025,8,Tuesday
PEDIDO-1016,2026-01-06,CLIENTE-991,Yasmin Araújo,da-cruzarthur@example.com,Marques,PI,PRODUTO-5889,Capacete para ciclismo,Esportes,5,1237.49,6187.45,Boleto,Processando,2026,1,Tuesday
PEDIDO-1017,2025-06-29,CLIENTE-652,Sr. Cauã Cavalcanti,benjamimramos@example.com,Siqueira De Andrade,MA,PRODUTO-9689,Shampoo,Beleza,5,682.1,3410.5,Cartão De Crédito,Entregue,2025,6,Sunday
PEDIDO-1018,2025-06-19,CLIENTE-999,Stephany Ribeiro,lopesvinicius@example.com,Nascimento,PE,PRODUTO-6038,Batom,Beleza,1,519.7,519.7,Transferência,Entregue,2025,6,Thursday
PEDIDO-1019,2025-07-28,CLIENTE-597,Luiz Fernando Vargas,igor10@example.net,Monteiro Do Amparo,TO,PRODUTO-2133,Escova de cabelo,Beleza,2,300.36,600.72,Cartão De Débito,Cancelado,2025,7,Monday
PEDIDO-1020,2026-01-04,CLIENTE-640,Yuri Rocha,igoraparecida@example.org,Rocha Do Amparo,DF,PRODUTO-7932,Base de maquiagem,Beleza,5,1522.77,7613.85,Boleto,Cancelado,2026,1,Sunday
PEDIDO-1021,2025-10-19,CLIENTE-787,João Lima,hellenanovais@example.com,Alves Do Galho,MG,PRODUTO-7118,Luvas de academia,Esportes,5,930.4,4652.0,Boleto,Entregue,2025,10,Sunday
PEDIDO-1022,2026-01-22,CLIENTE-121,Antony Andrade,hcosta@example.net,Rezende,RR,PRODUTO-4770,Porta-retratos,Casa E Decoração,2,64.02,128.04,Cartão De Crédito,Entregue,2026,1,Thursday
PEDIDO-1023,2025-12-29,CLIENTE-132,Mariane Pereira,jcostela@example.com,Sampaio,PA,PRODUTO-6413,Creme hidratante,Beleza,5,514.11,2570.55,Cartão De Débito,Entregue,2025,12,Monday
PEDIDO-1024,2026-02-11,CLIENTE-840,Liz Silva,carlos-eduardo21@example.net,Pereira,PA,PRODUTO-8744,Espelho decorativo,Casa E Decoração,4,1624.62,6498.48,Boleto,Entregue,2026,2,Wednesday
PEDIDO-1025,2025-07-19,CLIENTE-541,Sr. Kevin Cunha,pietro94@example.org,Ribeiro,MS,PRODUTO-7939,Sapatilha,Calçados,4,1734.48,6937.92,Cartão De Crédito,Cancelado,2025,7,Saturday
PEDIDO-1026,2025-05-06,CLIENTE-761,Felipe Araújo,camposgabrielly@example.com,Cassiano Da Prata,PR,PRODUTO-1993,Smart TV,Eletrônicos,3,1611.16,4833.4800000000005,Cartão De Crédito,Entregue,2025,5,Tuesday
PEDIDO-1027,2025-07-30,CLIENTE-649,Augusto Sampaio,luiz-otavio57@example.org,Garcia Paulista,MG,PRODUTO-3296,Livros de desenvolvimento pessoal,Livros,2,593.16,1186.32,Boleto,Entregue,2025,7,Wednesday
PEDIDO-1028,2025-10-19,CLIENTE-982,José Andrade,enogueira@example.net,Cunha Do Sul,RR,PRODUTO-2604,Condicionador,Beleza,5,1680.25,8401.25,Cartão De Crédito,Entregue,2025,10,Sunday
PEDIDO-1029,2025-10-17,CLIENTE-597,Marcos Vinicius Pimenta,laurada-rosa@example.com,Oliveira Do Oeste,PI,PRODUTO-4502,Livros de desenvolvimento pessoal,Livros,1,371.04,371.04,Cartão De Crédito,Processando,2025,10,Friday
PEDIDO-1030,2026-02-25,CLIENTE-902,Ravi Lucca Rocha,marcos-viniciusferreira@example.com,Da Mata,RR,PRODUTO-8454,Lipliner,Beleza,4,1408.35,5633.4,Transferência,Cancelado,2026,2,Wednesday
PEDIDO-1031,2025-09-19,CLIENTE-258,Yago Pacheco,yagoda-cruz@example.org,Machado,AM,PRODUTO-5861,Camisa social,Roupas,1,1179.4,1179.4,Transferência,Entregue,2025,9,Friday
