id_cliente,recencia,frequencia,monetario,nome_cliente,R_score,F_score,M_score,segmento
CLIENTE-100,63,6,10453.63,Isis Ribeiro,2,2,1,Perdido
CLIENTE-100,63,6,10453.63,João Gabriel Souza,2,2,1,Perdido
CLIENTE-100,63,6,10453.63,Sofia Moura,2,2,1,Perdido
CLIENTE-100,63,6,10453.63,Luiz Fernando Viana,2,2,1,Perdido
CLIENTE-100,63,6,10453.63,Dra. Maria Luiza Nunes,2,2,1,Perdido
CLIENTE-100,63,6,10453.63,Arthur Gabriel da Cruz,2,2,1,Perdido
CLIENTE-101,108,3,12696.349999999999,Maria Laura Lima,1,1,1,Perdido
CLIENTE-101,108,3,12696.349999999999,Benicio Pastor,1,1,1,Perdido
CLIENTE-101,108,3,12696.349999999999,Cecília Souza,1,1,1,Perdido
CLIENTE-102,20,6,15113.37,Stephany Sousa,4,2,2,Novo
CLIENTE-102,20,6,15113.37,Kaique Sousa,4,2,2,Novo
CLIENTE-102,20,6,15113.37,Dr. Liam Teixeira,4,2,2,Novo
CLIENTE-102,20,6,15113.37,Bárbara Silveira,4,2,2,Novo
CLIENTE-102,20,6,15113.37,Pietro Campos,4,2,2,Novo
CLIENTE-102,20,6,15113.37,Amanda Vargas,4,2,2,Novo
CLIENTE-103,104,6,19253.18,Cecilia Pimenta,1,2,3,Perdido
CLIENTE-103,104,6,19253.18,Dr. Ryan Oliveira,1,2,3,Perdido
CLIENTE-103,104,6,19253.18,Luiz Felipe Gomes,1,2,3,Perdido
CLIENTE-103,104,6,19253.18,Ana Liz Moura,1,2,3,Perdido
CLIENTE-103,104,6,19253.18,Dr. Henry da Luz,1,2,3,Perdido
CLIENTE-103,104,6,19253.18,Ester Farias,1,2,3,Perdido
CLIENTE-104,33,6,15303.78,Maria Luísa Pimenta,3,2,2,Potencial
CLIENTE-104,33,6,15303.78,Benjamim Nascimento,3,2,2,Potencial
CLIENTE-104,33,6,15303.78,Ryan Camargo,3,2,2,Potencial
CLIENTE-104,33,6,15303.78,Heloisa Aparecida,3,2,2,Potencial
CLIENTE-104,33,6,15303.78,Stephany Peixoto,3,2,2,Potencial
CLIENTE-104,33,6,15303.78,Jade Silveira,3,2,2,Potencial
CLIENTE-105,79,8,17506.46,Lunna Silveira,2,3,2,Em risco
CLIENTE-105,79,8,17506.46,Ana Beatriz Gonçalves,2,3,2,Em risco
CLIENTE-105,79,8,17506.46,Srta. Fernanda Nunes,2,3,2,Em risco
CLIENTE-105,79,8,17506.46,Gael Vasconcelos,2,3,2,Em risco
CLIENTE-105,79,8,17506.46,Luísa da Luz,2,3,2,Em risco
CLIENTE-105,79,8,17506.46,Mathias Rios,2,3,2,Em risco
CLIENTE-105,79,8,17506.46,Srta. Bianca Fogaça,2,3,2,Em risco
CLIENTE-105,79,8,17506.46,Cliente não informado,2,3,2,Em risco
CLIENTE-106,18,8,22900.149999999998,Benício Dias,4,3,4,Leal
CLIENTE-106,18,8,22900.149999999998,Catarina Castro,4,3,4,Leal
CLIENTE-106,18,8,22900.149999999998,Valentim da Cunha,4,3,4,Leal
CLIENTE-106,18,8,22900.149999999998,Caroline Nogueira,4,3,4,Leal
CLIENTE-106,18,8,22900.149999999998,Isabel Moraes,4,3,4,Leal
CLIENTE-106,18,8,22900.149999999998,Maria Isis Mendes,4,3,4,Leal
CLIENTE-106,18,8,22900.149999999998,Pedro Miguel Sousa,4,3,4,Leal
CLIENTE-106,18,8,22900.149999999998,Gustavo Correia,4,3,4,Leal
CLIENTE-107,140,6,21596.2,Heitor Barros,1,2,3,Perdido
CLIENTE-107,140,6,21596.2,Sr. Yan Vargas,1,2,3,Perdido
CLIENTE-107,140,6,21596.2,Ester Cassiano,1,2,3,Perdido
CLIENTE-107,140,6,21596.2,Dr. Vicente Pastor,1,2,3,Perdido
CLIENTE-107,140,6,21596.2,Benicio Fernandes,1,2,3,Perdido
CLIENTE-107,140,6,21596.2,Dr. José Pedro Mendonça,1,2,3,Perdido
CLIENTE-108,51,7,21100.239999999998,Mariana Santos,2,3,3,Em risco
CLIENTE-108,51,7,21100.239999999998,Nicole das Neves,2,3,3,Em risco
CLIENTE-108,51,7,21100.239999999998,Olivia Pereira,2,3,3,Em risco
CLIENTE-108,51,7,21100.239999999998,Ravi das Neves,2,3,3,Em risco
CLIENTE-108,51,7,21100.239999999998,Sr. José Pedro Duarte,2,3,3,Em risco
CLIENTE-108,51,7,21100.239999999998,Brayan Fonseca,2,3,3,Em risco
CLIENTE-108,51,7,21100.239999999998,Allana Camargo,2,3,3,Em risco
CLIENTE-109,32,7,34494.86,Dr. Caio Fonseca,3,3,5,Leal
CLIENTE-109,32,7,34494.86,Pietra Costela,3,3,5,Leal
CLIENTE-109,32,7,34494.86,Emanuel Siqueira,3,3,5,Leal
CLIENTE-109,32,7,34494.86,Benicio Pacheco,3,3,5,Leal
CLIENTE-109,32,7,34494.86,Dra. Marcela da Cruz,3,3,5,Leal
CLIENTE-109,32,7,34494.86,Samuel Fogaça,3,3,5,Leal
CLIENTE-109,32,7,34494.86,Yuri Mendonça,3,3,5,Leal
CLIENTE-110,2,10,41527.11,Cauã Vargas,5,5,5,Campeão
CLIENTE-110,2,10,41527.11,Dr. Lucas Sales,5,5,5,Campeão
CLIENTE-110,2,10,41527.11,Eduarda Azevedo,5,5,5,Campeão
CLIENTE-110,2,10,41527.11,Vitor Costela,5,5,5,Campeão
CLIENTE-110,2,10,41527.11,Dr. Arthur da Cruz,5,5,5,Campeão
CLIENTE-110,2,10,41527.11,Vitor Gabriel da Costa,5,5,5,Campeão
CLIENTE-110,2,10,41527.11,Alice Pimenta,5,5,5,Campeão
CLIENTE-110,2,10,41527.11,Sabrina Mendonça,5,5,5,Campeão
CLIENTE-110,2,10,41527.11,Beatriz Pires,5,5,5,Campeão
CLIENTE-110,2,10,41527.11,Anna Liz Montenegro,5,5,5,Campeão
CLIENTE-111,70,7,10466.869999999999,Antonella Pinto,2,3,1,Em risco
CLIENTE-111,70,7,10466.869999999999,Henry Camargo,2,3,1,Em risco
CLIENTE-111,70,7,10466.869999999999,Luísa Barros,2,3,1,Em risco
CLIENTE-111,70,7,10466.869999999999,Ísis da Cunha,2,3,1,Em risco
CLIENTE-111,70,7,10466.869999999999,Pedro Lucas Freitas,2,3,1,Em risco
CLIENTE-111,70,7,10466.869999999999,Rafaela das Neves,2,3,1,Em risco
CLIENTE-111,70,7,10466.869999999999,Helena Melo,2,3,1,Em risco
CLIENTE-112,2,4,10374.66,Apollo Correia,5,1,1,Novo
CLIENTE-112,2,4,10374.66,Cliente não informado,5,1,1,Novo
CLIENTE-112,2,4,10374.66,Maria Vitória Machado,5,1,1,Novo
CLIENTE-112,2,4,10374.66,Brayan Sampaio,5,1,1,Novo
CLIENTE-113,22,8,24237.7,Rafael Camargo,4,3,4,Leal
CLIENTE-113,22,8,24237.7,Clara Dias,4,3,4,Leal
CLIENTE-113,22,8,24237.7,Guilherme Andrade,4,3,4,Leal
CLIENTE-113,22,8,24237.7,Breno Caldeira,4,3,4,Leal
CLIENTE-113,22,8,24237.7,Benjamim Andrade,4,3,4,Leal
CLIENTE-113,22,8,24237.7,Diogo Novais,4,3,4,Leal
CLIENTE-113,22,8,24237.7,Dom Vargas,4,3,4,Leal
CLIENTE-113,22,8,24237.7,Luiz Henrique Viana,4,3,4,Leal
CLIENTE-114,11,4,15769.66,Maria Julia Cassiano,4,1,2,Novo
CLIENTE-114,11,4,15769.66,Dr. Lucca Carvalho,4,1,2,Novo
CLIENTE-114,11,4,15769.66,Alexia Montenegro,4,1,2,Novo
CLIENTE-114,11,4,15769.66,Catarina Gomes,4,1,2,Novo
CLIENTE-115,194,1,4628.22,Aurora Borges,1,1,1,Perdido
CLIENTE-116,8,10,22889.66,Vitor Hugo Rodrigues,5,5,4,Campeão
CLIENTE-116,8,10,22889.66,Yasmin Freitas,5,5,4,Campeão
CLIENTE-116,8,10,22889.66,João Guilherme Souza,5,5,4,Campeão
CLIENTE-116,8,10,22889.66,Olívia Andrade,5,5,4,Campeão
CLIENTE-116,8,10,22889.66,Cauã Correia,5,5,4,Campeão
CLIENTE-116,8,10,22889.66,Gustavo Henrique Montenegro,5,5,4,Campeão
CLIENTE-116,8,10,22889.66,Maria Cecília da Mata,5,5,4,Campeão
CLIENTE-116,8,10,22889.66,Valentim Barbosa,5,5,4,Campeão
CLIENTE-116,8,10,22889.66,Dr. Erick Santos,5,5,4,Campeão
CLIENTE-116,8,10,22889.66,Srta. Manuella Pereira,5,5,4,Campeão
CLIENTE-117,11,7,13110.67,João Vitor Câmara,4,3,2,Potencial
CLIENTE-117,11,7,13110.67,Isaac Gonçalves,4,3,2,Potencial
CLIENTE-117,11,7,13110.67,Sr. André Costela,4,3,2,Potencial
CLIENTE-117,11,7,13110.67,Lorena Novaes,4,3,2,Potencial
CLIENTE-117,11,7,13110.67,Kamilly Ribeiro,4,3,2,Potencial
CLIENTE-117,11,7,13110.67,Ana Liz Moreira,4,3,2,Potencial
CLIENTE-117,11,7,13110.67,Sarah Ramos,4,3,2,Potencial
CLIENTE-118,17,3,4359.5599999999995,Enrico Barbosa,4,1,1,Novo
CLIENTE-118,17,3,4359.5599999999995,Dr. Gustavo Caldeira,4,1,1,Novo
CLIENTE-118,17,3,4359.5599999999995,Bruna Carvalho,4,1,1,Novo
CLIENTE-119,12,7,23058.46,Isabela Silveira,4,3,4,Leal
CLIENTE-119,12,7,23058.46,Brenda Sales,4,3,4,Leal
CLIENTE-119,12,7,23058.46,Dra. Cecília Rocha,4,3,4,Leal
CLIENTE-119,12,7,23058.46,João Felipe Jesus,4,3,4,Leal
CLIENTE-119,12,7,23058.46,Isaque da Costa,4,3,4,Leal
CLIENTE-119,12,7,23058.46,João Vitor Moreira,4,3,4,Leal
CLIENTE-119,12,7,23058.46,Srta. Maria Lopes,4,3,4,Leal
CLIENTE-120,128,5,16393.65,Bruna Melo,1,1,2,Perdido
CLIENTE-120,128,5,16393.65,João Pedro da Cunha,1,1,2,Perdido
CLIENTE-120,128,5,16393.65,Gustavo Caldeira,1,1,2,Perdido
CLIENTE-120,128,5,16393.65,Alexia Cardoso,1,1,2,Perdido
CLIENTE-120,128,5,16393.65,Renan Marques,1,1,2,Perdido
CLIENTE-121,31,5,6027.49,Antony Andrade,3,1,1,Potencial
CLIENTE-121,31,5,6027.49,Fernando Souza,3,1,1,Potencial
CLIENTE-121,31,5,6027.49,João Pedro Jesus,3,1,1,Potencial
CLIENTE-121,31,5,6027.49,Cliente não informado,3,1,1,Potencial
CLIENTE-121,31,5,6027.49,Luiz Miguel Moura,3,1,1,Potencial
CLIENTE-122,143,3,12914.35,Mariana Peixoto,1,1,1,Perdido
CLIENTE-122,143,3,12914.35,Vitória Almeida,1,1,1,Perdido
CLIENTE-122,143,3,12914.35,Luna Monteiro,1,1,1,Perdido
CLIENTE-123,18,7,20420.24,Yuri Aparecida,4,3,3,Leal
CLIENTE-123,18,7,20420.24,Sr. Noah Marques,4,3,3,Leal
CLIENTE-123,18,7,20420.24,Ana Cecília Viana,4,3,3,Leal
CLIENTE-123,18,7,20420.24,Thomas Camargo,4,3,3,Leal
CLIENTE-123,18,7,20420.24,Raul Leão,4,3,3,Leal
CLIENTE-123,18,7,20420.24,Raquel Siqueira,4,3,3,Leal
CLIENTE-123,18,7,20420.24,Allana Martins,4,3,3,Leal
CLIENTE-124,51,5,22284.050000000003,Ravy Lopes,2,1,3,Perdido
CLIENTE-124,51,5,22284.050000000003,Noah Castro,2,1,3,Perdido
CLIENTE-124,51,5,22284.050000000003,Maria Luiza Araújo,2,1,3,Perdido
CLIENTE-124,51,5,22284.050000000003,Maitê Aparecida,2,1,3,Perdido
CLIENTE-124,51,5,22284.050000000003,Matheus Pacheco,2,1,3,Perdido
CLIENTE-125,24,11,30092.79,Davi Miguel Pires,4,5,5,Campeão
CLIENTE-125,24,11,30092.79,Joaquim Cirino,4,5,5,Campeão
CLIENTE-125,24,11,30092.79,Lucca Andrade,4,5,5,Campeão
CLIENTE-125,24,11,30092.79,Maria Lopes,4,5,5,Campeão
CLIENTE-125,24,11,30092.79,Dr. Otto Souza,4,5,5,Campeão
CLIENTE-125,24,11,30092.79,Melissa Pinto,4,5,5,Campeão
CLIENTE-125,24,11,30092.79,Olívia Nogueira,4,5,5,Campeão
CLIENTE-125,24,11,30092.79,Alícia Viana,4,5,5,Campeão
CLIENTE-125,24,11,30092.79,Júlia Borges,4,5,5,Campeão
CLIENTE-125,24,11,30092.79,Agatha Cassiano,4,5,5,Campeão
CLIENTE-125,24,11,30092.79,Sra. Ana Lívia Barbosa,4,5,5,Campeão
CLIENTE-126,12,9,38802.33,Ayla Cavalcanti,4,4,5,Campeão
CLIENTE-126,12,9,38802.33,Cliente não informado,4,4,5,Campeão
CLIENTE-126,12,9,38802.33,Benjamin Rezende,4,4,5,Campeão
CLIENTE-126,12,9,38802.33,Dr. Davi Barbosa,4,4,5,Campeão
CLIENTE-126,12,9,38802.33,Yan Costela,4,4,5,Campeão
